Description,log2_diff,p
BLOC-1-related complex subunit 5 OS=Homo sapiens OX=9606 GN=BORCS5 PE=1 SV=1,-0.254806667,0.010493989
Transcription intermediary factor 1-beta OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=5,-0.2555421,0.144938781
NAD(P)H-hydrate epimerase OS=Homo sapiens OX=9606 GN=NAXE PE=1 SV=2,-0.256936667,0.079054286
Protein transport protein Sec61 subunit gamma OS=Homo sapiens OX=9606 GN=SEC61G PE=1 SV=1,-0.257079467,0.119370224
Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical] OS=Homo sapiens OX=9606 GN=NUDT2 PE=1 SV=3,-0.257316667,0.041314547
"alpha-1,2-Mannosidase OS=Homo sapiens OX=9606 GN=MAN1B1 PE=1 SV=2",-0.257668667,0.018311434
Cationic amino acid transporter 2 (Fragment) OS=Homo sapiens OX=9606 GN=SLC7A2 PE=1 SV=1,-0.257701333,0.001175275
40S ribosomal protein S10 OS=Homo sapiens OX=9606 GN=RPS10 PE=1 SV=1,-0.258163333,0.001321303
"Enoyl-[acyl-carrier-protein] reductase, mitochondrial OS=Homo sapiens OX=9606 GN=MECR PE=1 SV=2",-0.259426667,0.083006551
Histone H4 OS=Homo sapiens OX=9606 GN=HIST1H4A PE=1 SV=2,-0.259496667,0.047803092
Ankyrin-2 (Fragment) OS=Homo sapiens OX=9606 GN=ANK2 PE=1 SV=1,-0.261143333,0.471201714
Prolyl 4-hydroxylase subunit alpha-1 OS=Homo sapiens OX=9606 GN=P4HA1 PE=1 SV=2,-0.261403333,0.136701996
Torsin-2A OS=Homo sapiens OX=9606 GN=TOR2A PE=2 SV=1,-0.262146667,0.005574848
Inverted formin-2 OS=Homo sapiens OX=9606 GN=INF2 PE=1 SV=2,-0.263006667,0.000641971
Vezatin OS=Homo sapiens OX=9606 GN=VEZT PE=1 SV=2,-0.26483,0.01419155
"Iron-sulfur cluster co-chaperone protein HscB, mitochondrial OS=Homo sapiens OX=9606 GN=HSCB PE=1 SV=3",-0.267013333,0.023772078
Regulator of chromosome condensation OS=Homo sapiens OX=9606 GN=RCC1 PE=1 SV=1,-0.267133333,0.044963213
Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=2,-0.267206667,0.048467679
45 kDa calcium-binding protein OS=Homo sapiens OX=9606 GN=SDF4 PE=1 SV=1,-0.267518,0.325853785
Probable ATP-dependent RNA helicase DDX49 OS=Homo sapiens OX=9606 GN=DDX49 PE=1 SV=1,-0.26757,0.05905791
Sulfhydryl oxidase 2 OS=Homo sapiens OX=9606 GN=QSOX2 PE=1 SV=3,-0.267729667,0.005253291
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8 OS=Homo sapiens OX=9606 GN=NDUFAF8 PE=1 SV=1,-0.268596667,0.291664807
Emerin OS=Homo sapiens OX=9606 GN=EMD PE=1 SV=1,-0.268737033,0.029394221
Cleavage and polyadenylation specificity factor subunit 7 OS=Homo sapiens OX=9606 GN=CPSF7 PE=1 SV=1,-0.269664,0.082162164
ATP-dependent (S)-NAD(P)H-hydrate dehydratase OS=Homo sapiens OX=9606 GN=NAXD PE=1 SV=1,-0.27024,0.157907013
"Transmembrane protein 11, mitochondrial OS=Homo sapiens OX=9606 GN=TMEM11 PE=1 SV=1",-0.2706211,0.003652559
"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens OX=9606 GN=PDHA1 PE=1 SV=3",-0.272266667,0.012053689
Cyclin-K OS=Homo sapiens OX=9606 GN=CCNK PE=1 SV=2,-0.274216667,0.171171329
L-xylulose reductase OS=Homo sapiens OX=9606 GN=DCXR PE=1 SV=2,-0.274363333,0.02218007
"Mycophenolic acid acyl-glucuronide esterase, mitochondrial OS=Homo sapiens OX=9606 GN=ABHD10 PE=1 SV=1",-0.276,0.014551246
Uncharacterized protein C6orf136 OS=Homo sapiens OX=9606 GN=C6orf136 PE=2 SV=1,-0.27601,0.03490152
Adenosine 3'-phospho 5'-phosphosulfate transporter 1 OS=Homo sapiens OX=9606 GN=SLC35B2 PE=1 SV=1,-0.276987,0.044321064
Uncharacterized protein OS=Homo sapiens OX=9606 PE=3 SV=2,-0.278898333,0.151822189
Heterogeneous nuclear ribonucleoprotein D0 (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=8,-0.279109,0.102852796
Sodium/hydrogen exchanger 6 OS=Homo sapiens OX=9606 GN=SLC9A6 PE=1 SV=2,-0.279863333,0.053517429
Putative deoxyribonuclease TATDN1 OS=Homo sapiens OX=9606 GN=TATDN1 PE=1 SV=2,-0.279933333,0.025725002
U4/U6 small nuclear ribonucleoprotein Prp31 OS=Homo sapiens OX=9606 GN=PRPF31 PE=1 SV=1,-0.280956667,0.124683387
Neugrin OS=Homo sapiens OX=9606 GN=NGRN PE=1 SV=2,-0.281374867,0.041267826
"Deoxyguanosine kinase, mitochondrial OS=Homo sapiens OX=9606 GN=DGUOK PE=1 SV=2",-0.281814433,0.009760828
"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial OS=Homo sapiens OX=9606 GN=QRSL1 PE=1 SV=2",-0.28206,0.019912549
Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=HNRNPF PE=1 SV=3,-0.282136067,0.032258644
MIEF1 upstream open reading frame protein OS=Homo sapiens OX=9606 GN=MIEF1 PE=1 SV=1,-0.282816667,0.123094764
3'-5' exoribonuclease 1 OS=Homo sapiens OX=9606 GN=ERI1 PE=1 SV=3,-0.28308152,0.055549558
RNA-binding protein 25 OS=Homo sapiens OX=9606 GN=RBM25 PE=1 SV=3,-0.283451333,0.084130428
Polypeptide N-acetylgalactosaminyltransferase 2 OS=Homo sapiens OX=9606 GN=GALNT2 PE=1 SV=1,-0.283473333,0.04471576
Nuclear RNA export factor 1 OS=Homo sapiens OX=9606 GN=NXF1 PE=1 SV=1,-0.284276,0.026334368
Eukaryotic translation initiation factor 1 OS=Homo sapiens OX=9606 GN=EIF1 PE=1 SV=1,-0.285984,0.01670672
40S ribosomal protein S5 (Fragment) OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=1,-0.286231,0.038917742
"ATP synthase subunit s, mitochondrial OS=Homo sapiens OX=9606 GN=DMAC2L PE=1 SV=3",-0.28696,0.010066074
Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4,-0.2875,0.120606804
"39S ribosomal protein L22, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL22 PE=1 SV=1",-0.288493333,0.020963543
Cytochrome c oxidase subunit 2 OS=Homo sapiens OX=9606 GN=MT-CO2 PE=1 SV=1,-0.291646667,0.003898499
"Cytochrome c oxidase subunit 7A2, mitochondrial OS=Homo sapiens OX=9606 GN=COX7A2 PE=1 SV=1",-0.292076667,0.009208236
"DnaJ homolog subfamily C member 30, mitochondrial OS=Homo sapiens OX=9606 GN=DNAJC30 PE=1 SV=3",-0.292543333,0.083095857
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11 OS=Homo sapiens OX=9606 GN=NDUFA11 PE=1 SV=3,-0.292696667,0.049478337
Mitochondrial import inner membrane translocase subunit Tim8 A OS=Homo sapiens OX=9606 GN=TIMM8A PE=1 SV=1,-0.293099333,0.457530297
Protein YIPF5 OS=Homo sapiens OX=9606 GN=YIPF5 PE=1 SV=1,-0.293922,0.003383746
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Homo sapiens OX=9606 GN=NDUFA5 PE=1 SV=3,-0.294800333,0.019795626
"Arginine-hydroxylase NDUFAF5, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFAF5 PE=1 SV=1",-0.295323333,0.186085446
Glucoside xylosyltransferase 1 OS=Homo sapiens OX=9606 GN=GXYLT1 PE=1 SV=2,-0.29646,0.21481735
Hermansky-Pudlak syndrome 6 protein OS=Homo sapiens OX=9606 GN=HPS6 PE=1 SV=1,-0.298063333,0.087396185
"Neurolysin, mitochondrial OS=Homo sapiens OX=9606 GN=NLN PE=1 SV=1",-0.29833,0.010310059
CUGBP Elav-like family member 1 OS=Homo sapiens OX=9606 GN=CELF1 PE=1 SV=2,-0.299396667,0.094011117
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS3 PE=1 SV=1",-0.300193333,0.002816108
"Nuclease EXOG, mitochondrial OS=Homo sapiens OX=9606 GN=EXOG PE=1 SV=2",-0.300716667,0.012207199
"28S ribosomal protein S25, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS25 PE=1 SV=1",-0.30116,0.006832294
Oxysterol-binding protein-related protein 10 OS=Homo sapiens OX=9606 GN=OSBPL10 PE=1 SV=2,-0.302026667,0.023200305
"Probable arginine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=RARS2 PE=1 SV=1",-0.302456667,0.008875532
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 OS=Homo sapiens OX=9606 GN=NDUFB9 PE=1 SV=3,-0.303373333,0.03293647
N-acylneuraminate cytidylyltransferase OS=Homo sapiens OX=9606 GN=CMAS PE=1 SV=2,-0.303463333,0.295616416
"Platelet-activating factor acetylhydrolase 2, cytoplasmic OS=Homo sapiens OX=9606 GN=PAFAH2 PE=1 SV=1",-0.3035899,0.022485377
3-keto-steroid reductase OS=Homo sapiens OX=9606 GN=HSD17B7 PE=1 SV=1,-0.30367,0.028974072
Mitochondrial genome maintenance exonuclease 1 OS=Homo sapiens OX=9606 GN=MGME1 PE=1 SV=1,-0.30388,0.00340917
Inner nuclear membrane protein Man1 OS=Homo sapiens OX=9606 GN=LEMD3 PE=1 SV=2,-0.304486667,0.004312901
Glyoxylate reductase/hydroxypyruvate reductase OS=Homo sapiens OX=9606 GN=GRHPR PE=1 SV=1,-0.30466,0.015364999
NADH dehydrogenase [ubiquinone] 1 subunit C2 OS=Homo sapiens OX=9606 GN=NDUFC2 PE=1 SV=1,-0.307385667,0.003022884
"Isoleucine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=IARS2 PE=1 SV=2",-0.30772,0.006506697
Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=3,-0.307873333,0.125993589
"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3A PE=1 SV=1",-0.30849,0.017781227
"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3G PE=1 SV=1",-0.308663333,0.011248083
"Peptidyl-tRNA hydrolase 2, mitochondrial OS=Homo sapiens OX=9606 GN=PTRH2 PE=1 SV=1",-0.308696667,0.040669765
"28S ribosomal protein S17, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS17 PE=1 SV=1",-0.308888,0.000409968
Carbonyl reductase [NADPH] 1 OS=Homo sapiens OX=9606 GN=CBR1 PE=1 SV=3,-0.309069333,0.004113728
Mesothelin (Fragment) OS=Homo sapiens OX=9606 GN=MSLN PE=1 SV=2,-0.309683333,0.025755427
"Inositol 1,4,5-trisphosphate receptor-interacting protein OS=Homo sapiens OX=9606 GN=ITPRIP PE=1 SV=1",-0.310343333,0.06583924
Protein FAM185A OS=Homo sapiens OX=9606 GN=FAM185A PE=2 SV=3,-0.31046,0.016560289
Ribosomal L1 domain-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=RSL1D1 PE=1 SV=1,-0.31065,0.06485465
ADP-ribosylation factor-like protein 2 OS=Homo sapiens OX=9606 GN=ARL2 PE=1 SV=4,-0.311223333,0.001238721
Ceroid-lipofuscinosis neuronal protein 6 OS=Homo sapiens OX=9606 GN=CLN6 PE=1 SV=1,-0.315363333,0.436342862
Mitochondrial carrier homolog 2 OS=Homo sapiens OX=9606 GN=MTCH2 PE=1 SV=1,-0.317176667,0.004807908
Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=1,-0.317353333,0.003880029
"39S ribosomal protein L53, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL53 PE=1 SV=1",-0.317433333,0.095789284
"Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens OX=9606 GN=GLUD1 PE=1 SV=2",-0.31893,0.01626578
"Ubiquinone biosynthesis protein COQ9, mitochondrial OS=Homo sapiens OX=9606 GN=COQ9 PE=1 SV=1",-0.320786667,0.005885606
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 OS=Homo sapiens OX=9606 GN=NDUFA13 PE=1 SV=3,-0.320852333,0.005908655
NADH-ubiquinone oxidoreductase chain 2 OS=Homo sapiens OX=9606 GN=MT-ND2 PE=1 SV=2,-0.321853033,0.001914842
"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFB8 PE=1 SV=1",-0.322163333,0.002873091
Zinc finger CCCH domain-containing protein 18 OS=Homo sapiens OX=9606 GN=ZC3H18 PE=1 SV=2,-0.322346667,0.157357297
Cytochrome c oxidase subunit 6B1 OS=Homo sapiens OX=9606 GN=COX6B1 PE=1 SV=2,-0.3229007,0.057658943
Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=2,-0.324026333,0.079741894
"Tyrosine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=YARS2 PE=1 SV=2",-0.324196667,0.006037574
Protein phosphatase 1 regulatory subunit 15B OS=Homo sapiens OX=9606 GN=PPP1R15B PE=1 SV=1,-0.324866667,0.002332942
"Acyl-CoA synthetase family member 2, mitochondrial OS=Homo sapiens OX=9606 GN=ACSF2 PE=1 SV=2",-0.325406667,0.009836395
"Ubiquinone biosynthesis O-methyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=COQ3 PE=1 SV=3",-0.325647667,0.048869564
FAD synthase OS=Homo sapiens OX=9606 GN=FLAD1 PE=1 SV=1,-0.326302933,0.007122666
Fumarylacetoacetate hydrolase domain-containing protein 2A OS=Homo sapiens OX=9606 GN=FAHD2A PE=1 SV=1,-0.326403333,0.001542793
"Phosphatidate cytidylyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=TAMM41 PE=1 SV=2",-0.327453667,0.009977655
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 OS=Homo sapiens OX=9606 GN=NDUFA1 PE=1 SV=1,-0.330263333,0.18485246
Probable tRNA(His) guanylyltransferase OS=Homo sapiens OX=9606 GN=THG1L PE=1 SV=2,-0.330435,0.021246522
"Inorganic pyrophosphatase 2, mitochondrial OS=Homo sapiens OX=9606 GN=PPA2 PE=1 SV=2",-0.33069,0.017482291
Interleukin enhancer-binding factor 3 OS=Homo sapiens OX=9606 GN=ILF3 PE=1 SV=3,-0.333471667,0.0110418
S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase OS=Homo sapiens OX=9606 GN=TYW1 PE=2 SV=2,-0.333506667,0.005665464
Mitochondrial-processing peptidase subunit alpha OS=Homo sapiens OX=9606 GN=PMPCA PE=1 SV=2,-0.333683333,0.008805621
Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=1,-0.334896667,0.040418425
Integrin beta-8 OS=Homo sapiens OX=9606 GN=ITGB8 PE=1 SV=1,-0.336776667,0.000811052
Nucleolar and coiled-body phosphoprotein 1 (Fragment) OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=1,-0.337293333,0.188118839
RCC1-like G exchanging factor-like protein OS=Homo sapiens OX=9606 GN=RCC1L PE=1 SV=2,-0.337811267,0.070086999
Armadillo repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=ARMC1 PE=1 SV=1,-0.338907333,0.026059697
Serine/arginine-rich-splicing factor 1 OS=Homo sapiens OX=9606 GN=SRSF1 PE=1 SV=1,-0.339725467,0.037576698
"5'(3')-deoxyribonucleotidase, cytosolic type OS=Homo sapiens OX=9606 GN=NT5C PE=1 SV=2",-0.33976,0.003176564
Protein YIF1A (Fragment) OS=Homo sapiens OX=9606 GN=YIF1A PE=1 SV=2,-0.3398916,0.008286836
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Homo sapiens OX=9606 GN=NDUFA6 PE=1 SV=1,-0.340378333,0.011507469
Uracil-DNA glycosylase OS=Homo sapiens OX=9606 GN=UNG PE=1 SV=2,-0.341653333,0.019553182
Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=2,-0.344133333,0.219719765
Mitochondrial glutamate carrier 1 OS=Homo sapiens OX=9606 GN=SLC25A22 PE=1 SV=1,-0.34479,0.00013151
Haloacid dehalogenase-like hydrolase domain-containing 5 OS=Homo sapiens OX=9606 GN=HDHD5 PE=1 SV=1,-0.3478,0.006491958
"Pyrroline-5-carboxylate reductase 1, mitochondrial OS=Homo sapiens OX=9606 GN=PYCR1 PE=1 SV=2",-0.34818,0.002923393
Mitochondrial import receptor subunit TOM6 homolog OS=Homo sapiens OX=9606 GN=TOMM6 PE=1 SV=1,-0.348729333,0.013004978
"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH4A1 PE=1 SV=3",-0.349448,0.030214065
Oxidoreductase-like domain-containing protein 1 OS=Homo sapiens OX=9606 GN=OXLD1 PE=2 SV=1,-0.349946667,0.031587456
Oxysterol-binding protein-related protein 3 OS=Homo sapiens OX=9606 GN=OSBPL3 PE=1 SV=1,-0.352493333,0.023861473
Volume-regulated anion channel subunit LRRC8E OS=Homo sapiens OX=9606 GN=LRRC8E PE=1 SV=2,-0.352526667,0.029527012
5'-nucleotidase domain-containing protein 2 OS=Homo sapiens OX=9606 GN=NT5DC2 PE=1 SV=1,-0.35264,0.00734509
Transformer-2 protein homolog beta (Fragment) OS=Homo sapiens OX=9606 GN=TRA2B PE=1 SV=1,-0.352762,0.016859388
"Methionyl-tRNA formyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=MTFMT PE=1 SV=2",-0.352882,0.009012891
Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3,-0.35316623,0.065436426
Branched-chain-amino-acid aminotransferase OS=Homo sapiens OX=9606 GN=BCAT2 PE=1 SV=1,-0.356553333,0.005781023
Mitochondrial import inner membrane translocase subunit Tim21 OS=Homo sapiens OX=9606 GN=TIMM21 PE=1 SV=1,-0.357912733,0.001774035
Estradiol 17-beta-dehydrogenase 8 OS=Homo sapiens OX=9606 GN=HSD17B8 PE=1 SV=2,-0.358212,0.012700165
"Methylmalonic aciduria type A protein, mitochondrial OS=Homo sapiens OX=9606 GN=MMAA PE=1 SV=1",-0.35903,0.049399016
Probable phospholipid-transporting ATPase IIA OS=Homo sapiens OX=9606 GN=ATP9A PE=1 SV=3,-0.359183333,0.083783296
Transforming acidic coiled-coil-containing protein 1 OS=Homo sapiens OX=9606 GN=TACC1 PE=1 SV=1,-0.3598,0.131550658
Solute carrier family 25 member 40 OS=Homo sapiens OX=9606 GN=SLC25A40 PE=1 SV=1,-0.360398667,0.002657178
"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial OS=Homo sapiens OX=9606 GN=OXSM PE=1 SV=1",-0.361367667,0.005056849
"Enoyl-CoA hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ECHS1 PE=1 SV=4",-0.364123333,0.011032191
FUN14 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FUNDC1 PE=1 SV=1,-0.365143333,0.064510217
Heterogeneous nuclear ribonucleoprotein A0 OS=Homo sapiens OX=9606 GN=HNRNPA0 PE=1 SV=1,-0.36601,0.007304114
"28S ribosomal protein S26, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS26 PE=1 SV=1",-0.36656813,0.027417222
Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1,-0.367033333,0.035911307
Luc7-like protein 3 OS=Homo sapiens OX=9606 GN=LUC7L3 PE=1 SV=2,-0.368003333,0.060825894
U2 small nuclear ribonucleoprotein A' OS=Homo sapiens OX=9606 GN=SNRPA1 PE=1 SV=2,-0.368886667,0.018687368
Quinone oxidoreductase OS=Homo sapiens OX=9606 GN=CRYZ PE=1 SV=1,-0.369743333,0.001457561
Protein YIPF3 OS=Homo sapiens OX=9606 GN=YIPF3 PE=1 SV=1,-0.372373333,0.018019241
Golgi apparatus protein 1 OS=Homo sapiens OX=9606 GN=GLG1 PE=1 SV=2,-0.372662667,0.07006166
3-mercaptopyruvate sulfurtransferase OS=Homo sapiens OX=9606 GN=MPST PE=1 SV=3,-0.373663333,0.003564969
"Agmatinase, mitochondrial OS=Homo sapiens OX=9606 GN=AGMAT PE=1 SV=2",-0.374984333,0.003105919
"HLA class I histocompatibility antigen, Cw-16 alpha chain OS=Homo sapiens OX=9606 GN=HLA-C PE=1 SV=1",-0.375056667,0.010400967
Decaprenyl-diphosphate synthase subunit 2 OS=Homo sapiens OX=9606 GN=PDSS2 PE=1 SV=2,-0.375327653,0.000711451
"Ferredoxin-2, mitochondrial OS=Homo sapiens OX=9606 GN=FDX2 PE=1 SV=2",-0.37604,0.043430835
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 OS=Homo sapiens OX=9606 GN=NDUFB7 PE=1 SV=4,-0.3764324,0.002719713
Uncharacterized protein C1orf167 (Fragment) OS=Homo sapiens OX=9606 GN=C1orf167 PE=4 SV=1,-0.377296667,0.110769351
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 OS=Homo sapiens OX=9606 GN=NDUFA3 PE=1 SV=1,-0.378038333,0.004769395
"Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3B PE=1 SV=1",-0.379236667,0.003366048
"Carnitine O-palmitoyltransferase 2, mitochondrial OS=Homo sapiens OX=9606 GN=CPT2 PE=1 SV=2",-0.380093333,0.003033625
Mitochondrial ribonuclease P catalytic subunit OS=Homo sapiens OX=9606 GN=KIAA0391 PE=1 SV=2,-0.38096,0.000743116
"Probable histidine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=HARS2 PE=1 SV=1",-0.38243,0.001426636
5-formyltetrahydrofolate cyclo-ligase OS=Homo sapiens OX=9606 GN=MTHFS PE=1 SV=2,-0.383779667,0.010455722
Guanylate kinase (Fragment) OS=Homo sapiens OX=9606 GN=GUK1 PE=1 SV=1,-0.38513,0.053913612
CTP synthase 2 OS=Homo sapiens OX=9606 GN=CTPS2 PE=1 SV=1,-0.386043333,0.045879656
"Hydroxymethylglutaryl-CoA lyase, mitochondrial OS=Homo sapiens OX=9606 GN=HMGCL PE=1 SV=2",-0.386186667,0.002396583
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFV1 PE=1 SV=1",-0.386423333,0.00579958
Alpha-methylacyl-CoA racemase OS=Homo sapiens OX=9606 GN=AMACR PE=1 SV=2,-0.38644,0.005263266
Splicing factor 1 OS=Homo sapiens OX=9606 GN=SF1 PE=1 SV=4,-0.386546667,0.053596215
Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2,-0.3869658,0.00314987
"ATP-binding cassette sub-family B member 8, mitochondrial OS=Homo sapiens OX=9606 GN=ABCB8 PE=1 SV=3",-0.387798,0.00117137
Neuronal pentraxin-1 OS=Homo sapiens OX=9606 GN=NPTX1 PE=2 SV=2,-0.38888,0.028836072
"Malonyl-CoA decarboxylase, mitochondrial OS=Homo sapiens OX=9606 GN=MLYCD PE=1 SV=3",-0.390383667,0.013280371
Peroxisomal NADH pyrophosphatase NUDT12 OS=Homo sapiens OX=9606 GN=NUDT12 PE=1 SV=1,-0.392266667,0.036679844
"39S ribosomal protein L1, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL1 PE=1 SV=2",-0.392286667,0.007250556
"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFA10 PE=1 SV=1",-0.393456667,0.001047778
"39S ribosomal protein L10, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL10 PE=1 SV=3",-0.394324167,0.036876963
Sorbin and SH3 domain-containing protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=SORBS2 PE=1 SV=1,-0.394573333,0.000253298
Agrin OS=Homo sapiens OX=9606 GN=AGRN PE=1 SV=6,-0.394722667,0.0265504
Cytochrome c oxidase assembly protein COX19 OS=Homo sapiens OX=9606 GN=COX19 PE=1 SV=1,-0.395063333,0.001666005
Coronin-1B OS=Homo sapiens OX=9606 GN=CORO1B PE=1 SV=1,-0.395373033,0.073388742
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 OS=Homo sapiens OX=9606 GN=NDUFB4 PE=1 SV=3,-0.39609,0.057274138
Omega-amidase NIT2 OS=Homo sapiens OX=9606 GN=NIT2 PE=1 SV=1,-0.396801,0.003263856
"Peptide chain release factor 1-like, mitochondrial OS=Homo sapiens OX=9606 GN=MTRF1L PE=1 SV=1",-0.397675667,0.017973812
Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=2,-0.398054633,0.013708294
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 OS=Homo sapiens OX=9606 GN=NDUFA12 PE=1 SV=1,-0.399112667,0.003727017
"39S ribosomal protein L42, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL42 PE=1 SV=1",-0.400422067,0.003762138
60S ribosomal protein L23 OS=Homo sapiens OX=9606 GN=RPL23 PE=1 SV=1,-0.403503333,0.0414251
"39S ribosomal protein L48, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL48 PE=1 SV=2",-0.40388,0.008708209
Spermatogenesis-associated protein 20 OS=Homo sapiens OX=9606 GN=SPATA20 PE=1 SV=1,-0.4042536,0.022142526
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3 OS=Homo sapiens OX=9606 GN=NDUFAF3 PE=1 SV=1,-0.404437667,0.03346472
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS2 PE=1 SV=2",-0.40689,0.006879992
Haloacid dehalogenase-like hydrolase domain-containing protein 3 OS=Homo sapiens OX=9606 GN=HDHD3 PE=1 SV=1,-0.407054667,0.008857394
"39S ribosomal protein L41, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL41 PE=1 SV=1",-0.407114,0.000491151
Nectin-2 OS=Homo sapiens OX=9606 GN=NECTIN2 PE=1 SV=1,-0.407596667,0.163533196
"28S ribosomal protein S22, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS22 PE=1 SV=1",-0.409553333,0.006530187
Mitochondrial-processing peptidase subunit beta OS=Homo sapiens OX=9606 GN=PMPCB PE=1 SV=2,-0.411163333,0.004869679
Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=1,-0.411950733,0.009614508
tRNA pseudouridine synthase (Fragment) OS=Homo sapiens OX=9606 GN=PUS1 PE=1 SV=1,-0.41206,0.004186071
NLR family member X1 OS=Homo sapiens OX=9606 GN=NLRX1 PE=1 SV=1,-0.41484,0.003057559
Transmembrane protein 165 OS=Homo sapiens OX=9606 GN=TMEM165 PE=1 SV=1,-0.416763333,0.052309714
Ras-related protein Rab-3A OS=Homo sapiens OX=9606 GN=RAB3A PE=1 SV=1,-0.418613333,0.004428184
